a3_x,b3_y,c3_z
-0.000946,0.0003662,-0.001343
-0.000885,0.0004272,-0.001404
-0.000885,0.0003052,-0.001404
-0.0008545,6.104e-05,-0.001312
-0.000885,0.0,-0.001251
-0.000824,0.0,-0.001038
-0.000763,-0.0001831,-0.000946
-0.0006714,-0.0003357,-0.000702
-0.00058,-0.0002136,-0.000519
-0.000519,-0.0001221,-0.0004578
-0.0003662,-0.0002136,-0.0003662
-0.0003357,-0.0002441,-0.0003357
-0.0002747,-0.0002136,-0.0003052
-6.104e-05,-0.0003357,-0.0003052
-6.104e-05,-0.0004578,-0.0003052
9.155e-05,-0.0004272,-0.0002441
6.104e-05,-0.000519,-0.0001221
0.0001831,-0.0003967,-3.05e-05
0.0002441,-0.0003967,6.104e-05
0.0002747,-0.0003357,0.0001526
0.0003662,-0.0002441,0.0001526
0.0004272,-0.0003357,0.0001221
0.0005493,-0.0003052,0.0001526
0.000641,-0.0002441,0.0001221
0.000763,-0.0001221,0.0001526
0.000824,-0.0002136,0.0001526
0.0009155,3.05e-05,0.0001831
0.001007,0.0002136,0.0001831
0.000977,6.104e-05,0.0001831
0.001068,0.0001526,0.0001831
0.001099,0.0001526,0.0001526
0.00119,3.05e-05,0.0002136
0.00116,0.0001526,0.0001831
0.001312,9.155e-05,0.0001831
0.001343,0.0002747,0.0003052
0.001343,0.0003662,0.0003052
0.001434,0.0002747,0.0004272
0.001495,0.0005493,0.0006104
0.001587,0.0004578,0.000763
0.001556,0.0005493,0.0009155
0.001617,0.0004883,0.001007
0.001617,0.0004883,0.001099
0.001648,0.0006104,0.00119
0.001678,0.0006104,0.00119
0.001617,0.000702,0.001282
0.0017395,0.0006714,0.001282
0.001709,0.000702,0.001434
0.0017395,0.00058,0.001373
0.001709,0.000641,0.001373
0.001678,0.0007935,0.001343
0.001556,0.0007324,0.001343
0.001556,0.000885,0.001221
0.001648,0.001038,0.001068
0.001617,0.001129,0.001068
0.001709,0.001129,0.0009155
0.001709,0.001221,0.000824
0.001801,0.00119,0.0007935
0.001831,0.001282,0.000702
0.001831,0.001404,0.000641
0.001953,0.001495,0.0007324
0.001923,0.001678,0.0007324
0.002045,0.001801,0.000702
0.002136,0.001892,0.0007324
0.002197,0.001984,0.0007324
0.002289,0.001892,0.000763
0.00232,0.001862,0.000885
